"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 10 18:30:05 GMT 2023","Sun Dec 10 18:30:07 GMT 2023","1506","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","exampleSimpleTest","exampleSimpleTest",""
"passed","Sun Dec 10 18:13:59 GMT 2023","Sun Dec 10 18:14:08 GMT 2023","9222","Default Suite","PomTests","coockieEnter.LoginWithCoockies","coockieEnter.LoginWithCoockies","loginWithCoockies","loginWithCoockies",""
"passed","Sun Dec 10 18:30:14 GMT 2023","Sun Dec 10 18:30:15 GMT 2023","1479","Command line suite","Command line test","demoBlazeSite.BlazeTest","demoBlazeSite.BlazeTest","loginUserTest","loginUserTest",""
"passed","Sun Dec 10 18:30:07 GMT 2023","Sun Dec 10 18:30:07 GMT 2023","260","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","firstTest","firstTest",""
"passed","Sun Dec 10 18:30:08 GMT 2023","Sun Dec 10 18:30:10 GMT 2023","1840","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Sun Dec 10 18:30:02 GMT 2023","Sun Dec 10 18:30:02 GMT 2023","27","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","searchTResultTest","searchTResultTest",""
"broken","Sun Dec 03 14:40:05 GMT 2023","Sun Dec 03 14:40:05 GMT 2023","1","Default Suite","PomTests","demoBlazeSite.BlazeTest","demoBlazeSite.BlazeTest","tearDown","tearDown",""
"passed","Sun Dec 03 14:29:01 GMT 2023","Sun Dec 03 14:29:05 GMT 2023","4425","Default Suite","PomTests","demoBlazeSite.BlazeTest","demoBlazeSite.BlazeTest","logon","logon",""
"passed","Sun Dec 10 18:29:59 GMT 2023","Sun Dec 10 18:30:00 GMT 2023","861","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","firstTest","firstTest",""
"passed","Sun Dec 10 16:07:30 GMT 2023","Sun Dec 10 16:07:38 GMT 2023","7436","Default Suite","PomTests","coockieEnter.LoginWhisCoockies","coockieEnter.LoginWhisCoockies","openPage","openPage",""
"passed","Sun Dec 10 18:30:10 GMT 2023","Sun Dec 10 18:30:12 GMT 2023","1857","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Sun Dec 10 18:30:03 GMT 2023","Sun Dec 10 18:30:05 GMT 2023","2507","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","calcTest","calcTest",""
"passed","Sun Dec 10 18:30:00 GMT 2023","Sun Dec 10 18:30:02 GMT 2023","1785","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Sun Dec 10 18:30:12 GMT 2023","Sun Dec 10 18:30:13 GMT 2023","1714","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchTResultTest","searchTResultTest",""
"passed","Sun Dec 10 18:30:07 GMT 2023","Sun Dec 10 18:30:08 GMT 2023","1184","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Sun Dec 10 17:58:06 GMT 2023","Sun Dec 10 17:58:18 GMT 2023","12284","Default Suite","PomTests","coockieEnter.LoginWithCoockies","coockieEnter.LoginWithCoockies","openPage","openPage",""
"passed","Sun Dec 10 18:30:16 GMT 2023","Sun Dec 10 18:30:18 GMT 2023","1959","Command line suite","Command line test","coockieEnter.LoginWithCoockiesTest","coockieEnter.LoginWithCoockiesTest","loginWithCoockiesTest","loginWithCoockiesTest",""
