"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 10 17:37:00 GMT 2023","Sun Dec 10 17:37:01 GMT 2023","1477","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","exampleSimpleTest","exampleSimpleTest",""
"passed","Sun Dec 10 17:37:01 GMT 2023","Sun Dec 10 17:37:02 GMT 2023","240","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","firstTest","firstTest",""
"passed","Sun Dec 10 17:36:55 GMT 2023","Sun Dec 10 17:36:56 GMT 2023","828","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","firstTest","firstTest",""
"passed","Sun Dec 10 16:07:30 GMT 2023","Sun Dec 10 16:07:38 GMT 2023","7436","Default Suite","PomTests","coockieEnter.LoginWhisCoockies","coockieEnter.LoginWhisCoockies","openPage","openPage",""
"passed","Sun Dec 10 17:37:03 GMT 2023","Sun Dec 10 17:37:05 GMT 2023","1808","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Sun Dec 10 17:36:56 GMT 2023","Sun Dec 10 17:36:57 GMT 2023","1537","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"broken","Sun Dec 03 14:40:05 GMT 2023","Sun Dec 03 14:40:05 GMT 2023","1","Default Suite","PomTests","demoBlazeSite.BlazeTest","demoBlazeSite.BlazeTest","tearDown","tearDown",""
"passed","Sun Dec 03 14:29:01 GMT 2023","Sun Dec 03 14:29:05 GMT 2023","4425","Default Suite","PomTests","demoBlazeSite.BlazeTest","demoBlazeSite.BlazeTest","logon","logon",""
"passed","Sun Dec 10 17:37:09 GMT 2023","Sun Dec 10 17:37:10 GMT 2023","1455","Command line suite","Command line test","demoBlazeSite.BlazeTest","demoBlazeSite.BlazeTest","loginUserTest","loginUserTest",""
"passed","Sun Dec 10 17:36:57 GMT 2023","Sun Dec 10 17:36:57 GMT 2023","24","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","searchTResultTest","searchTResultTest",""
"passed","Sun Dec 10 17:36:58 GMT 2023","Sun Dec 10 17:37:00 GMT 2023","1760","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","calcTest","calcTest",""
"passed","Sun Dec 10 17:37:05 GMT 2023","Sun Dec 10 17:37:07 GMT 2023","2059","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Sun Dec 10 17:37:02 GMT 2023","Sun Dec 10 17:37:03 GMT 2023","1136","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Sun Dec 10 17:37:07 GMT 2023","Sun Dec 10 17:37:08 GMT 2023","1626","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchTResultTest","searchTResultTest",""
