"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 03 14:29:01 GMT 2023","Sun Dec 03 14:29:05 GMT 2023","4425","Default Suite","PomTests","demoBlazeSite.BlazeTest","demoBlazeSite.BlazeTest","logon","logon",""
"passed","Sun Dec 10 18:01:33 GMT 2023","Sun Dec 10 18:01:34 GMT 2023","1058","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Sun Dec 10 18:01:32 GMT 2023","Sun Dec 10 18:01:32 GMT 2023","251","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","firstTest","firstTest",""
"passed","Sun Dec 10 18:01:28 GMT 2023","Sun Dec 10 18:01:30 GMT 2023","2540","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","calcTest","calcTest",""
"passed","Sun Dec 10 17:58:06 GMT 2023","Sun Dec 10 17:58:18 GMT 2023","12284","Default Suite","PomTests","coockieEnter.LoginWithCoockies","coockieEnter.LoginWithCoockies","openPage","openPage",""
"passed","Sun Dec 10 18:01:36 GMT 2023","Sun Dec 10 18:01:37 GMT 2023","1459","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchTResultTest","searchTResultTest",""
"passed","Sun Dec 10 18:01:25 GMT 2023","Sun Dec 10 18:01:27 GMT 2023","1700","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Sun Dec 10 18:01:30 GMT 2023","Sun Dec 10 18:01:32 GMT 2023","1505","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","exampleSimpleTest","exampleSimpleTest",""
"passed","Sun Dec 10 16:07:30 GMT 2023","Sun Dec 10 16:07:38 GMT 2023","7436","Default Suite","PomTests","coockieEnter.LoginWhisCoockies","coockieEnter.LoginWhisCoockies","openPage","openPage",""
"passed","Sun Dec 10 18:01:32 GMT 2023","Sun Dec 10 18:01:33 GMT 2023","896","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Sun Dec 10 18:01:38 GMT 2023","Sun Dec 10 18:01:39 GMT 2023","1427","Command line suite","Command line test","demoBlazeSite.BlazeTest","demoBlazeSite.BlazeTest","loginUserTest","loginUserTest",""
"broken","Sun Dec 03 14:40:05 GMT 2023","Sun Dec 03 14:40:05 GMT 2023","1","Default Suite","PomTests","demoBlazeSite.BlazeTest","demoBlazeSite.BlazeTest","tearDown","tearDown",""
"passed","Sun Dec 10 18:01:27 GMT 2023","Sun Dec 10 18:01:27 GMT 2023","25","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","searchTResultTest","searchTResultTest",""
"passed","Sun Dec 10 18:01:34 GMT 2023","Sun Dec 10 18:01:36 GMT 2023","1755","Command line suite","Command line test","exampleForYourSite.GooglePageTest","exampleForYourSite.GooglePageTest","searchSomethingTest","searchSomethingTest",""
"passed","Sun Dec 10 18:01:24 GMT 2023","Sun Dec 10 18:01:25 GMT 2023","797","Command line suite","Command line test","exampleGooglePage.GooglePageTest","exampleGooglePage.GooglePageTest","firstTest","firstTest",""
